cœur	43691
sûrement	43604
verre	43564
aimes	43476
devons	43474
veulent	43466
doute	43368
musique	43317
courant	43257
sauf	43211
moyen	43094
nouvelles	43001
puis-je	42958
avis	42822
sauver	42781
hôpital	42773
questions	42732
meurtre	42615
sérieux	42566
seconde	42558
trucs	42548
comprendre	42495
allais	42452
esprit	42339
cool	42254
mlle	42249
marché	42176
fous	42174
laisse-moi	42013
haut	42011
salle	41868
malade	41746
changé	41591
gentil	41586
allé	41502
six	41391
simple	41316
john	41222
semaines	41083
celle	41072
jack	41049
appris	41022
seigneur	40977
dîner	40925
sors	40866
commencé	40850
suppose	40694
chemin	40491
partout	40420
bras	40381
cul	40257
prochaine	40242
visage	39958
h	39905
meilleure	39793
face	39743
soirée	39649
roi	39490
surtout	39488
retard	39464
écrit	39335
livre	39271
rapport	39270
chéri	39264
message	39241
voulez-vous	39216
vaut	39050
ferais	39008
morts	38988
boire	38949
soyez	38926
président	38910
plait	38693
bois	38577
sinon	38576
erreur	38428
new	38345
ecoute	38316
mr	38242
rentre	38212
rendez-vous	38209
devait	38107
revenir	38040
joue	37977
pauvre	37944
devenir	37910
s	37881
rencontrer	37801
sort	37668
commencer	37646
pouvait	37606
occupe	37524
entends	37509
souvent	37426
pièce	37391
reçu	37374
grave	37363
mets	37355
intérieur	37333
honneur	37223
dormir	37219
an	37176
faux	37004
messieurs	36835
groupe	36747
rêve	36646
carte	36617
aviez	36607
appel	36462
manque	36432
envoyé	36334
début	36194
sam	36188
puisse	36184
écoutez	36099
laissez-moi	36081
bonsoir	35996
content	35995
secret	35927
venue	35831
cher	35798
dis-moi	35752
effet	35720
voyons	35712
sac	35663
continue	35623
acheter	35367
voix	35335
certains	35311
occuper	35303
noël	35247
gagner	35232
grâce	35130
maître	35027
prix	35016
mauvaise	34877
général	34861
âge	34813
long	34770
rue	34669
tirer	34659
apprendre	34657
cheveux	34619
noir	34578
promis	34465
avaient	34446
patron	34391
avocat	34342
force	34289
accident	34178
dix	34151
probablement	34122
laissez	34008
bout	33935
ordre	33869
armes	33850
cru	33759
déteste	33715
retrouver	33686
millions	33596
incroyable	33500
voyage	33467
ailleurs	33452
oublie	33375
ressemble	33348
bienvenue	33329
disparu	33306
protéger	33233
utiliser	33138
situation	33091
petits	33083
aurai	33057
veux-tu	32911
connaissez	32816
simplement	32775
scène	32705
sœur	32449
prête	32407
oncle	32390
devriez	32217
liste	32199
soeur	32041
complètement	32034
dos	31944
armée	31939
paix	31914
battre	31889
york	31805
crime	31784
anniversaire	31734
finir	31715
réussi	31714
agit	31654
i	31645
retourner	31576
sale	31573
libre	31568
bouge	31554
contrôle	31553
rappelle	31538
arrêté	31461
hôtel	31438
idiot	31388
okay	31277
rencontré	31211
restez	31133
absolument	31103
mots	31001
victime	30971
impression	30923
décidé	30860
sympa	30825
pars	30795
fasse	30781
avion	30751
bordel	30717
habitude	30681
table	30663
rouge	30645
système	30622
photos	30548
médecin	30511
seras	30451
bateau	30393
stupide	30383
faim	30350
autour	30343
fond	30337
surprise	30330
croyez	30274
devais	30216
ligne	29986
porter	29973
imagine	29930
colère	29833
clair	29823
seront	29823
savait	29819
balle	29671
gagné	29628
or	29615
hors	29603
magnifique	29550
risque	29451
terminé	29401
su	29297
heureuse	29291
mission	29188
jolie	29170
parlez	29154
présent	29154
sorti	29142
cadeau	29135
expliquer	29117
volé	29042
plusieurs	29005
gauche	29001
ferait	29000
neuf	28997
passe-t-il	28932
ouvre	28901
disais	28816
dedans	28714
disent	28687
pouvons	28614
allez-y	28516
suivre	28472
pourra	28408
inspecteur	28401
réponse	28389
lumière	28373
pieds	28360
pote	28346
montre	28345
pied	28324
marcher	28292
charlie	28209
auras	28194
envoyer	28172
vraie	28134
espèce	28096
doivent	28094
allô	27992
pareil	27908
vas-tu	27844
soleil	27823
camp	27788
fallait	27763
coin	27733
ignore	27730
moitié	27718
you	27696
selon	27696
tenir	27689
grosse	27629
vouloir	27622
michael	27613
vieille	27589
devenu	27587
continuer	27438
rend	27333
sortie	27301
recherche	27273
arrière	27266
lire	27246
doucement	27137
joli	27123
avance	27109
exact	27037
disait	26948
club	26946
arrivée	26902
tue	26853
laquelle	26841
poser	26762
chaud	26762
aimé	26712
david	26710
fais-tu	26655
tom	26651
professeur	26619
quitter	26615
loi	26556
tueur	26498
donne-moi	26466
flics	26459
connaître	26455
lettre	26437
forme	26420
connaît	26384
conseil	26321
bar	26306
normal	26242
danger	26235
dangereux	26231
folle	26212
jure	26199
tiré	26123
essaye	26116
bonnes	26100
offre	26091
but	26086
froid	26033
allez-vous	25927
prêts	25866
tranquille	25861
gamin	25847
joe	25803
classe	25755
joué	25739
poste	25731
con	25665
mike	25589
attaque	25543
boîte	25539
enquête	25412
visite	25391
juge	25363
moi-même	25359
bord	25332
debout	25323
envoie	25278
preuve	25213
oublier	25166
bons	25071
vivant	25069
ciel	25050
lu	25036
touche	25003
aimer	24969
faites-vous	24953
télé	24925
met	24924
écouter	24919
serez	24918
ll	24887
pourtant	24861
change	24860
triste	24857
droite	24856
gueule	24853
tombe	24823
sentir	24811
ouvrir	24803
travers	24799
santé	24796
dossier	24767
ie	24760
jeunes	24715
frank	24680
coucher	24676
cuisine	24649
monte	24567
pouvez-vous	24549
signifie	24512
entrez	24501
relation	24501
centre	24480
dame	24475
chacun	24467
chanson	24452
foutre	24434
voler	24427
blanc	24420
george	24408
certain	24340
don	24313
âme	24204
manière	24165
flic	24138
décision	24039
mange	24014
vit	23971
compagnie	23968
déjeuner	23862
différent	23859
tire	23821
ordres	23785
clé	23784
vaisseau	23775
secondes	23770
enfer	23720
sortez	23674
vendre	23619
faisais	23540
responsable	23530
mecs	23501
nulle	23482
signe	23446
lieutenant	23433
aille	23431
acheté	23393
étrange	23391
diable	23391
viennent	23391
monter	23296
là-dedans	23243
l	23240
capable	23171
emmener	23169
écrire	23152
honte	23146
bouche	23143
préfère	23099
coupable	23084
rire	23042
payé	22996
soin	22983
milieu	22979
appartement	22865
prochain	22858
cerveau	22839
paris	22815
m	22801
blague	22769
choisi	22760
époque	22746
aurez	22702
voie	22636
réunion	22601
connu	22593
allée	22556
intérêt	22538
cheval	22524
combat	22516
silence	22487
coups	22485
existe	22455
ia	22453
retourne	22426
tel	22393
trou	22363
public	22293
peter	22251
oeil	22186
pleine	22153
cacher	22151
amoureux	22137
drogue	22119
commandant	22118
garçons	22071
faisons	22048
paul	21991
n	21978
tient	21944
est-elle	21883
prise	21880
gouvernement	21860
dirai	21844
client	21828
adresse	21825
journal	21815
contact	21797
dingue	21787
sent	21757
récupérer	21729
base	21713
preuves	21712
présente	21683
peau	21661
servir	21656
peuple	21655
exemple	21652
fiche	21652
max	21608
promets	21565
lequel	21558
blessé	21552
c	21528
société	21526
tort	21494
sept	21493
pourriez	21456
savent	21437
ouvert	21418
héros	21415
menti	21357
mer	21299
contente	21297
quitté	21209
jeter	21209
sauvé	21184
bière	21153
assis	21149
robe	21141
ecoutez	21141
devient	21122
félicitations	21101
opération	21099
prévu	21029
fut	21012
tenez	20998
livres	20995
répondre	20990
seuls	20989
pute	20985
entrée	20964
vol	20952
horrible	20910
vin	20883
dommage	20879
dites-moi	20865
auriez	20842
colonel	20840
ramener	20818
règles	20817
nez	20807
justice	20765
fbi	20727
découvert	20726
départ	20689
bruit	20665
secours	20663
vérifier	20657
enceinte	20595
mise	20571
témoin	20543
dirais	20539
directeur	20517
intéressant	20484
excuse	20473
environ	20468
t	20438
inutile	20414
terrible	20402
danse	20395
position	20385
humain	20379
apparemment	20336
avenir	20307
rêves	20260
œil	20209
bête	20196
sérieusement	20120
bravo	20115
approche	20087
nourriture	20052
fric	20041
plupart	20040
lycée	20038
tas	20038
empêcher	20006
longue	20004
sexe	19997
niveau	19994
banque	19988
éviter	19974
étions	19964
lune	19957
pitié	19942
liberté	19931
expérience	19918
procès	19903
radio	19903
hum	19890
verra	19883
thé	19875
partez	19853
utilisé	19845
mur	19838
pose	19824
revenu	19814
deuxième	19810
bande	19808
asseyez-vous	19778
certaines	19769
ridicule	19756
nord	19732
appelez	19711
copine	19703
baiser	19692
anglais	19687
henry	19636
toilettes	19610
portes	19599
faudra	19593
occupé	19592
grands	19559
and	19529
dérange	19450
rôle	19448
censé	19369
savez-vous	19361
james	19347
reine	19286
croit	19276
cour	19270
église	19259
vide	19247
obtenir	19233
conneries	19232
ennuis	19229
personnel	19199
conduire	19187
tombé	19165
sol	19160
code	19148
huit	19144
avions	19144
espoir	19132
comprenez	19110
spécial	19110
vidéo	19093
vêtements	19070
défense	19067
alex	19035
sud	19019
grand-mère	18994
match	18970
bombe	18920
intéresse	18888
zone	18882
tante	18869
paraît	18868
excuser	18825
magasin	18790
marier	18782
chère	18776
aie	18755
souvenir	18730
proche	18698
revient	18664
danny	18641
douleur	18633
arrivera	18624
presse	18614
merveilleux	18609
asseoir	18573
ravi	18561
aimais	18539
h.	18519
amérique	18514
fenêtre	18461
mien	18458
terrain	18458
sergent	18438
peux-tu	18386
projet	18376
quartier	18371
planète	18365
certainement	18354
rapide	18343
lorsque	18327
assurer	18311
rendu	18264
mignon	18262
tourne	18249
danser	18238
bob	18238
clients	18233
petites	18226
aimez	18200
présenter	18198
importance	18188
venus	18185
jimmy	18170
sache	18159
mérite	18141
machine	18119
derniers	18093
programme	18092
mesdames	18055
meilleurs	18045
honnête	18036
essayez	18017
irai	17992
connard	17990
occasion	17985
prouver	17969
travaillé	17956
glace	17947
ayez	17946
parie	17942
camion	17923
fier	17888
discuter	17845
village	17843
spectacle	17835
d	17834
nul	17822
rose	17817
touché	17811
mangé	17787
vis	17786
parole	17774
rencontre	17759
apprécie	17744
jane	17732
réalité	17731
savons	17720
respect	17693
remettre	17664
vacances	17653
détruire	17634
choisir	17596
ha	17590
découvrir	17577
idées	17567
officier	17525
frères	17523
sert	17513
bill	17488
solution	17472
informations	17462
attendais	17456
monstre	17409
sexy	17397
ordinateur	17386
retrouvé	17373
nature	17310
rappeler	17308
énergie	17295
pierre	17291
utilise	17286
pression	17283
chaussures	17265
faite	17259
histoires	17242
sarah	17229
marié	17219
espace	17198
soient	17192
nick	17135
portable	17131
préparer	17120
nécessaire	17109
court	17099
offrir	17091
will	17084
ai-je	17046
tony	17044
envers	17043
bain	17027
charge	17025
mary	17022
harry	16999
jim	16997
ennemi	16980
arrivent	16962
immédiatement	16961
finalement	16958
énorme	16953
grand-père	16950
test	16926
gagne	16912
réfléchir	16869
victimes	16859
chanter	16855
futur	16836
lâche	16833
mademoiselle	16798
copain	16771
enlever	16765
pensez-vous	16747
retrouve	16734
épouser	16725
fleurs	16704
salope	16686
aies	16662
gosse	16662
arranger	16628
riche	16593
faits	16574
